Continent,Year,Labour Force,Population,Normalized Labour Force,Unemployment Rate
Africa,2014,745428090,1963013216,112.945318,16.40378655
Africa,2015,767688048,2017397598,113.1345885,16.97269461
Africa,2016,790204256,2072311978,113.3609093,17.12474912
Africa,2017,811865394,2127770548,113.3934399,17.37182691
Africa,2018,834709818,2184807946,113.541869,17.31014751
Africa,2019,859084610,2243098098,113.8119379,17.63117053
Africa,2020,875431287,2302604162,112.9857841,18.92563063
Africa,2021,905428326,2362326026,113.8819984,19.18532853
Africa,2022,937813320,2422380004,115.0546966,17.26420647
Africa,2023,967853999,2483795634,115.8042447,16.83875067
Asia,2014,2007071508,4463927170,122.7433829,21.29945414
Asia,2015,2026183763,4510558673,122.6938239,21.73993552
Asia,2016,2042099216,4556711921,122.7115224,21.53028681
Asia,2017,2056746049,4602949971,122.3510282,21.62343229
Asia,2018,2072299987,4646991274,122.1371506,21.16256299
Asia,2019,2089176675,4688657155,122.1114777,19.80820207
Asia,2020,2073850004,4726432603,119.9995458,22.34368566
Asia,2021,2115148502,4758300770,121.6192026,20.61627661
Asia,2022,2154684668,4787836082,123.5825128,18.81138437
Asia,2023,2204464529,4819938012,125.4889891,17.72446276
Europe,2014,645751883,1349160002,143.7873085,29.38146208
Europe,2015,647810248,1354070973,143.7478992,27.21933892
Europe,2016,652092461,1358851796,144.0844013,24.55915556
Europe,2017,654959644,1362859278,144.6649144,21.78533761
Europe,2018,657425261,1366873052,144.7934267,19.30756883
Europe,2019,659300573,1370128912,144.9475991,17.87631526
Europe,2020,650391404,1372525923,143.1767033,19.24590608
Europe,2021,655761278,1372524880,144.0517084,19.07924197
Europe,2022,643344035,1369428173,143.7980851,16.56981091
Europe,2023,648385390,1374443761,144.5020591,16.21297984
Americas,2014,472766040,984778230,180.1610746,33.96896481
Americas,2015,478915710,993951349,180.9610858,32.61754081
Americas,2016,485193309,1003166152,181.9405597,32.9628736
Americas,2017,492081281,1011982608,182.9070383,31.80786758
Americas,2018,498525547,1020267787,183.8244418,31.07958459
Americas,2019,505369691,1028147615,184.1633744,30.32419406
Americas,2020,487485849,1037111709,178.1509783,40.91987829
Americas,2021,503142922,1042403526,181.062027,35.89157257
Americas,2022,513179270,1048823360,183.9345925,29.72109636
Americas,2023,520377149,1056639919,185.2965027,28.11168959
Oceania,2014,891624,2405308,37.06901569,3.461038668
Oceania,2015,900248,2431426,37.02551507,3.460482007
Oceania,2016,907983,2457814,36.942706,3.466241894
Oceania,2017,919953,2484263,37.03122415,3.484188291
Oceania,2018,933075,2510226,37.17095592,3.491636251
Oceania,2019,947545,2536070,37.36273052,3.518514277
Oceania,2020,946071,2566819,36.85772156,3.505812807
Oceania,2021,963644,2602173,37.03228033,3.604744157
Oceania,2022,1004689,2639019,38.07054818,3.830678887
Oceania,2023,1029856,2677728,38.46006764,3.729420655
